CompanyName,ContactName,Location,CodeNumber,BusinessType,dba,OpenedDate,BLGLOBALENTITYEXTENSIONID,BusinessPhone,ADDRESSLINE1,ADDRESSLINE2,ADDRESSLINE3,PREDIRECTION,STREETTYPE,POSTDIRECTION,UNITORSUITE,CITY,STATE,POSTALCODE,ISSUEDDATE,LICENSENUMBER,EXPIRATIONDATE
A-1 ROADSIDE ASSIST & TOWING           ,JOHN & KATHLEEN INGRAM,Inside City Limits,488410,Towing,,00:00.0,0AC63E73-73F8-4744-BD62-F00B02216B75,5414719595,130,SUSAN,,SW,LN,, ,GRANTS PASS,OR,97526,47:35.0,BTAX-035722-08-2023,47:35.0
A-1 ROADSIDE ASSIST & TOWING           ,JOHN & KATHLEEN INGRAM,Outside City Limits,488410,Towing,,00:00.0,f235617b-a866-438e-8c83-32d09bb5174d,5414719595,4200,HIGHLAND,, ,AVE,, ,GRANTS PASS,OR,97526,49:02.0,BTAX-035723-08-2023,49:02.0
A-1 ROADSIDE ASSIST & TOWING           , ,Outside City Limits,488410,Towing,,00:00.0,f235617b-a866-438e-8c83-32d09bb5174d,5414719595,4200,HIGHLAND,, ,AVE,, ,GRANTS PASS,OR,97526,49:02.0,BTAX-035723-08-2023,49:02.0
A2 INVESTMENTS LLC, ,Inside City Limits,531110,Rental Units/Landlord,,00:00.0,49332aa9-89fe-4834-aa17-5c95dfce31cd,5417615431,319,E,,NW,ST,, ,GRANTS PASS,OR,97526,55:10.0,BTAX-036207-10-2023,55:10.0
A2 INVESTMENTS LLC,JODIE AND SPENCER APLAND,Inside City Limits,531110,Rental Units/Landlord,,00:00.0,49332aa9-89fe-4834-aa17-5c95dfce31cd,5417615431,319,E,,NW,ST,, ,GRANTS PASS,OR,97526,55:10.0,BTAX-036207-10-2023,55:10.0
AA INSULATION,HOWARD OSVOLD,Outside City Limits,238190,Contractor-General/Building Exterior,,00:00.0,97f04923-4951-4e3d-8aca-000d5df28116,5415351818,407,BOARDMAN ,,,ST,,,MEDFORD,OR,97501,45:37.0,BTAX-034778-07-2023,45:37.0
AA INSULATION, ,Outside City Limits,238190,Contractor-General/Building Exterior,,00:00.0,97f04923-4951-4e3d-8aca-000d5df28116,5415351818,407,BOARDMAN ,,,ST,,,MEDFORD,OR,97501,45:37.0,BTAX-034778-07-2023,45:37.0
AAA OREGON                    , AAA OREGON/IDAHO              ,Inside City Limits,541990,Professional-Misc,,00:00.0,B9F98CB6-AA4C-47A2-975E-0B3FC7B59346,5414797829,1563,F,,NE,ST,,,GRANTS PASS,OR,97526,54:33.0,BTAX-036167-10-2023,54:33.0
AARON'S LLC, ,Inside City Limits,442110,Retail-Furniture Store,AARON'S SALES AND LEASE OWNERSHIP #C2054,00:00.0,f94424bf-f2d3-43d5-9655-79cc21ce2348,5414711300,834,E,,NE,ST,, ,GRANTS PASS,OR,97526,36:48.0,BTAX-036530-12-2023,36:48.0
ABBYS PIZZA INN SOUTH         , ABBY'S INC (STOCK HELD)       ,Inside City Limits,722511,Restaurant,,00:00.0,A548C8C8-8C95-418C-848C-5CA3F0FF7595,5416721184,1560,WILLIAMS,, ,HWY,, ,GRANTS PASS,OR,97527,39:40.0,BTAX-036915-02-2024,39:40.0
ABC MINI STORAGE L.L.C.,GORDON & MARILYNN ANDERSON,Inside City Limits,493110,Storage & General Warehousing,,00:00.0,CF5E992B-525F-4A4C-9D0F-9E0C0F41116C,5414797684,1131,D,,NE,ST,, ,GRANTS PASS,OR,97526,28:26.0,BTAX-035243-07-2023,28:26.0
ABC MINI STORAGE L.L.C., ,Inside City Limits,493110,Storage & General Warehousing,,00:00.0,CF5E992B-525F-4A4C-9D0F-9E0C0F41116C,5414797684,1131,D,,NE,ST,, ,GRANTS PASS,OR,97526,28:26.0,BTAX-035243-07-2023,28:26.0
ABSOLUTE MOTOSPORT INC       ,NEIDER & ALLISON  BELL,Inside City Limits,454390,Retail-Misc Direct Selling Establishment,,00:00.0,4764A978-512E-47B8-A5FC-5DFE90BA13BE,5416777479,135,MILL,,SE,ST,,,GRANTS PASS,OR,97526,27:43.0,BTAX-034691-07-2023,27:43.0
ACCENTCARE HOME HEALTH OF ROGUE VALLEY INC , ACCENTCARE,Inside City Limits,621610,Medical-Home Health Care Services,,00:00.0,3ECCE2C5-37CE-49BF-B79F-65AED0EB5764,9722013819,1545,F,,NE,ST,,,GRANTS PASS,OR,97526,13:00.0,BTAX-035378-08-2023,13:00.0
ACCESS FAMILY MEDICINE DPC,TAMARA POWELL,Inside City Limits,621111,Medical-Physician,,00:00.0,6067eb5f-46b7-4de8-bd3d-88577bdb65fe,5414509359,1201,7TH,,NE,ST,,C,GRANTS PASS,OR,97526,02:57.0,BTAX-036346-11-2023,02:57.0
ACCESS FAMILY MEDICINE DPC, ,Inside City Limits,621111,Medical-Physician,,00:00.0,6067eb5f-46b7-4de8-bd3d-88577bdb65fe,5414509359,1201,7TH,,NE,ST,,C,GRANTS PASS,OR,97526,02:57.0,BTAX-036346-11-2023,02:57.0
ACCURATE ROOFING COMPANY LLC,CARLA & WALTER WATSON,Outside City Limits,238160,Roofing,,00:00.0,f17a62dd-fcb4-406e-b8e1-613f459d6ed8,5414769869,390,SCENIC,,,DR,,,GRANTS PASS,OR,97526,43:50.0,BTAX-037033-03-2024,43:50.0
ACCURATE ROOFING COMPANY LLC, ,Outside City Limits,238160,Roofing,,00:00.0,f17a62dd-fcb4-406e-b8e1-613f459d6ed8,5414769869,390,SCENIC,,,DR,,,GRANTS PASS,OR,97526,43:50.0,BTAX-037033-03-2024,43:50.0
ACCURATE ROOFING COMPANY LLC,WALTER & CARLA WATSON,Outside City Limits,238160,Roofing,,00:00.0,1F60EFCA-3AB4-4763-BAAB-2402A8433974,5414769869,1540,ROGUE RIVER,, ,HWY,,,GRANTS PASS,OR,97527,37:25.0,BTAX-037224-04-2024,37:25.0
ACCURATE ROOFING COMPANY LLC, ,Outside City Limits,238160,Roofing,,00:00.0,1F60EFCA-3AB4-4763-BAAB-2402A8433974,5414769869,1540,ROGUE RIVER,, ,HWY,,,GRANTS PASS,OR,97527,37:25.0,BTAX-037224-04-2024,37:25.0
ACE CASH EXPRESS,"POPULUS FINANCIAL GROUP, INC",Inside City Limits,522298,Pawnshop,,00:00.0,f7e8d72d-af06-482e-b6d9-6a49777163f5,5414718865,412,7TH,,SE,ST,, ,GRANTS PASS,OR,97526,13:35.0,BTAX-035799-09-2023,13:35.0
ACE CASH EXPRESS, ,Inside City Limits,522298,Pawnshop,,00:00.0,f7e8d72d-af06-482e-b6d9-6a49777163f5,5414718865,412,7TH,,SE,ST,, ,GRANTS PASS,OR,97526,13:35.0,BTAX-035799-09-2023,13:35.0
ACTION DOOR LLC,MYLES & JANEL  WHITTINGTON,Inside City Limits,339999,Manufacturing-Misc Manufacturing,,00:00.0,2AC298C5-025B-4BC0-9D63-F4BCD731E033,5414729118,850,ROGUE RIVER,,,HWY,,,GRANTS PASS,OR,97527,27:25.0,BTAX-035342-07-2023,27:25.0
ACTION DOOR LLC,JANEL WHITTINGTON,Inside City Limits,339999,Manufacturing-Misc Manufacturing,,00:00.0,2AC298C5-025B-4BC0-9D63-F4BCD731E033,5414729118,850,ROGUE RIVER,,,HWY,,,GRANTS PASS,OR,97527,27:25.0,BTAX-035342-07-2023,27:25.0
ACTIVE APPLIANCE              , ,Inside City Limits,811412,Appliance Reapair/Maint,,00:00.0,550A73D1-42C6-4CA4-979D-B74BF7A734B6,5414798734,605,7TH,,SE,ST,, ,GRANTS PASS,OR,97526,23:29.0,BTAX-036808-01-2024,23:29.0
ACTIVE SPORTS & FAMILY CHIROPRACTIC,ADAM L  HENDY,Inside City Limits,621310,Medical-Chiropractor,,00:00.0,101B6FAE-913A-4D41-A266-9F9669290449,5414760662,1529,F,,NE,ST,,,GRANTS PASS,OR,97526,42:08.0,BTAX-035936-09-2023,42:08.0
ACUPRESSURE HEALTH CARE       ,CHARLOTTE SPERISEN,Inside City Limits,621399,Medical-Massage Therapy,,00:00.0,02386D82-C29A-46E8-AC86-E6A1B3F59CB7,5479550618,432,6TH,,NW,ST,,#207,GRANTS PASS,,97527,05:37.0,BTAX-035599-08-2023,05:37.0
ACUPUNCTURE AND HERBAL MEDICAL CENTER LLC ,GREGORY DOSS,Inside City Limits,624190,Social Svcs-Individual & Family Svcs,,00:00.0,A7624B2F-0B8F-423E-A384-350F0F752D2B,5414764611,910,D,,NE,ST,, ,GRANTS PASS,OR,97526,49:19.0,BTAX-037352-05-2024,49:19.0
ACUPUNCTURE AT RIVERSIDE      ,ELLEN  LEONARD,Inside City Limits,541990,Professional-Misc,,00:00.0,1AE158B2-2A46-4BA4-A591-3F05B2E62476,5414741974,957,7TH,,SE,St,,,GRANTS PASS,OR,97526,41:01.0,BTAX-035263-07-2023,41:01.0
"ADMIRE AESTHETICS, INC",TIFFANY DIGIUSEPPE,Inside City Limits,812199,Personal Care Services,,00:00.0,d2bcdf6d-49ea-4c34-b1f2-c076e0a2e65b,5412108806,1533,F,,NE,ST,,,GRANTS PASS,OR,97526,23:15.0,BTAX-037386-05-2024,23:15.0
"ADMIRE AESTHETICS, INC", ,Inside City Limits,812199,Personal Care Services,,00:00.0,d2bcdf6d-49ea-4c34-b1f2-c076e0a2e65b,5412108806,1533,F,,NE,ST,,,GRANTS PASS,OR,97526,23:15.0,BTAX-037386-05-2024,23:15.0
ADT LLC, ,Outside City Limits,561621,Security System Services,,00:00.0,92AD429E-8F55-4315-A753-69942CD1E203,5612262843,7989,CIRRUS,,SW,DR,,22,BEAVERTON,OR,97008,54:54.0,BTAX-037145-04-2024,54:54.0
ADT LLC, ,Inside City Limits,561621,Security System Services,ADT SECURITY SERVICES,00:00.0,98a6fda4-4eea-4cae-af73-f8a690ec913d,5612262843,824,ROGUE RIVER,,,HWY,,UNIT D,GRANTS PASS,OR,97527,38:15.0,BTAX-036644-12-2023,38:15.0
ADVANCED DENT REPAIR          ,MARK  TOBIN,Inside City Limits,811121,"Auto-Body, Paint & Interior",,00:00.0,5B5D2B32-6747-437A-BF93-D546000E5563,5414763605,669,ROGUE RIDGE,, ,DR,, ,GRANTS PASS,OR,97527,05:52.0,BTAX-037241-04-2024,05:52.0
ADVANCED PRINT & TINT,JASON TRUJILLO,Inside City Limits,323111,Printing-Commercial,,00:00.0,f9a20e47-f5ed-487e-a67a-8c5bd105daaf,5414713355,526,ROGUE RIVER,, ,HWY,, ,GRANTS PASS,OR,97527,18:20.0,BTAX-037214-04-2024,18:20.0
ADVANCED PRINT & TINT, ,Inside City Limits,323111,Printing-Commercial,,00:00.0,f9a20e47-f5ed-487e-a67a-8c5bd105daaf,5414713355,526,ROGUE RIVER,, ,HWY,, ,GRANTS PASS,OR,97527,18:20.0,BTAX-037214-04-2024,18:20.0
ADVANCED TESTING & INSPECTION ,JOHN  FRAZER,Outside City Limits,541330,Engineering Services,,00:00.0,55D10AE3-39D0-45DE-9F9E-7FF205029311,5417617607,4120,CLOVERLAWN,,,DR,,,GRANTS PASS,OR,97527,05:22.0,BTAX-034572-07-2023,05:22.0
ADVANTAGE DENTAL ORAL HEALTH CENTER, ,Inside City Limits,621210,Medical-Dentist,,00:00.0,08d1ebee-ce1d-4ddf-9d52-9cf246d8d353,5414921687,1228,7TH,,NE,ST,, ,GRANTS PASS,OR,97526,01:52.0,BTAX-035656-08-2023,01:52.0
ADVANTAGE DENTAL ORAL HEALTH CENTER, ,Inside City Limits,621210,Medical-Dentist,,00:00.0,08d1ebee-ce1d-4ddf-9d52-9cf246d8d353,5414921687,1228,7TH,,NE,ST,, ,GRANTS PASS,OR,97526,01:52.0,BTAX-035656-08-2023,01:52.0
ADVANTAGE HOME CARE INC,J MICHEAL  JOHNSON,Inside City Limits,621610,Medical-Home Health Care Services,,00:00.0,F6DABBF8-8A21-4A08-85F8-5F079264DAEA,5414790993,1320,7TH,,NE,ST,, ,GRANTS PASS,OR,97526,00:27.0,BTAX-036002-09-2023,00:27.0
AEGIS THERAPIES INC, ,Inside City Limits,621340,Medical-Occupational & Speech Therapist,,00:00.0,e6be1ffa-3c97-4ccb-a45d-4b72286ebccb,,1710,FAIRVIEW,,NE,AVE,, ,GRANTS PASS,OR,97526,24:28.0,BTAX-035340-07-2023,24:28.0
AEGIS THERAPIES INC, ,Inside City Limits,621340,Medical-Occupational & Speech Therapist,,00:00.0,34f072d1-3bb0-4d61-9d67-5b849f303dd4,,859,6TH,,NE,ST,, ,GRANTS PASS,OR,97526,25:46.0,BTAX-035341-07-2023,25:46.0
AFFORDABLE TRUCK & RV         ,ARTHUR  WOOLARD,Inside City Limits,453930,RV/Mobile Home Dealer,,00:00.0,7EEB6223-538A-4BD7-A1F2-62A8032089D1,5415353043,324,REDWOOD,, ,HWY,, ,GRANTS PASS,OR,97527,49:13.0,BTAX-036843-01-2024,49:13.0
AFFORDABLE TRUCK & RV         ,ARTHUR  WOOLARD,Inside City Limits,453930,RV/Mobile Home Dealer,,00:00.0,7EEB6223-538A-4BD7-A1F2-62A8032089D1,5415353043,324,REDWOOD,, ,HWY,, ,GRANTS PASS,OR,97527,22:42.0,BTAX-035374-07-2023,22:42.0
AFFORDABLE TRUCK & RV         ,ARTHUR  WOOLARD,Inside City Limits,453930,RV/Mobile Home Dealer,,00:00.0,593b41b0-73fb-430e-8a38-168ee8bfd8fa,5415353043,725,UNION,, ,AVE,, ,GRANTS PASS,OR,97527,46:28.0,BTAX-036842-01-2024,46:28.0
AFI PROPERTIES,JENNIFER  AUSLAND,Inside City Limits,238990,Contractor-Trade/Specialty,COPELAND LANDSCAPE SUPPLY,00:00.0,09C318C1-590B-4048-BA85-D93959824E2B,5414764441,695,J,,SE,ST,, ,GRANTS PASS,OR,97526,53:53.0,BTAX-034857-07-2023,53:53.0
AGNESS SELF STORAGE LLC, ,Inside City Limits,493110,Storage & General Warehousing,,00:00.0,0523F650-0DE9-4326-89A3-0D78D19F5F2E,5414763126,578,AGNESS,,NE,AVE,, ,GRANTS PASS,OR,97526,06:27.0,BTAX-035983-09-2023,06:27.0
AGUILAR MORA RESTURANTS LLC,RAFAEL MORA,Inside City Limits,722511,Restaurant,,00:00.0,b56ea8f4-3a54-43dd-924a-fb2a7db5bf8f,5412262483,799,ROGUE RIVER,, ,HWY,, ,GRANTS PASS,OR,97527,34:31.0,BTAX-036474-11-2023,34:31.0
AGUILAR MORA RESTURANTS LLC,ERICA AGUILAR,Inside City Limits,722511,Restaurant,,00:00.0,b56ea8f4-3a54-43dd-924a-fb2a7db5bf8f,5412262483,799,ROGUE RIVER,, ,HWY,, ,GRANTS PASS,OR,97527,34:31.0,BTAX-036474-11-2023,34:31.0
AHR GRANTS PASS OR ALF TRS SUB LLC, ,Inside City Limits,623312,Medical-Assisted Living Facility/Elderly,THE SUITES,00:00.0,b97c4c4e-6e5f-443f-92a0-f24c491ac648,9492709200,1301,PARKDALE,,,DR,,,GRANTS PASS,OR,97527,04:05.0,BTAX-035569-08-2023,04:05.0
AIRGAS USA LLC               , ,Inside City Limits,238190,Welding/Fabrication,,00:00.0,55E5079F-FF22-4474-96D5-82F49C9E36F9,2135637397,2110,VINE,,NW,ST,,,GRANTS PASS,OR,97526,21:25.0,BTAX-035793-09-2023,21:25.0
AIRTEC HEATING & AIR CONDITION,MARK  WEBB,Inside City Limits,238220,Contractor-HVAC Services,,00:00.0,967611E5-83D0-47D9-B953-273525CB50E5,5417617198,106,F,,NW,St,,#420,GRANTS PASS,OR,97526,40:28.0,BTAX-035886-09-2023,40:28.0
ALIBI BAR INC  , ,Inside City Limits,722410,Bar/Tavern,ALIBI BAR,00:00.0,14DFE7F2-43AD-446F-B7AA-00B5B8FFBC91,5414792854,1220,6TH,,NW,ST,, ,GRANTS PASS,OR,97526,25:46.0,BTAX-037223-04-2024,25:46.0
ALIBI BAR INC  ,JOHN CROOK,Inside City Limits,722410,Bar/Tavern,ALIBI BAR,00:00.0,14DFE7F2-43AD-446F-B7AA-00B5B8FFBC91,5414792854,1220,6TH,,NW,ST,, ,GRANTS PASS,OR,97526,25:46.0,BTAX-037223-04-2024,25:46.0
ALL 4 PAWS,CHARLA LEHMAN,Inside City Limits,812910,Pet Care Services,,00:00.0,225aeae8-9f10-417d-891e-e2053f68a957,5417612275,1950,REDWOOD,, ,AVE,, ,GRANTS PASS,OR,97527,27:23.0,BTAX-035368-07-2023,27:23.0
ALL 4 PAWS, ,Inside City Limits,812910,Pet Care Services,,00:00.0,225aeae8-9f10-417d-891e-e2053f68a957,5417612275,1950,REDWOOD,, ,AVE,, ,GRANTS PASS,OR,97527,27:23.0,BTAX-035368-07-2023,27:23.0
ALL 4 PAWS,CHARLA LEHMAN,Inside City Limits,812910,Pet Care Services,,00:00.0,225aeae8-9f10-417d-891e-e2053f68a957,5417612275,1950,REDWOOD,,,AVE,,,GRANTS PASS,OR,97527,27:23.0,BTAX-035368-07-2023,27:23.0
ALL 4 PAWS, ,Inside City Limits,812910,Pet Care Services,,00:00.0,225aeae8-9f10-417d-891e-e2053f68a957,5417612275,1950,REDWOOD,,,AVE,,,GRANTS PASS,OR,97527,27:23.0,BTAX-035368-07-2023,27:23.0
ALL AMERICAN CITY LANDSCAPING ,JACK SUTTERS,Inside City Limits,541320,Landscaping Services,,00:00.0,B891E131-04B9-4F6A-80F1-9903A72EC751,5414766127,325,SHANNON,, ,LN,, ,GRANTS PASS,OR,97526,13:41.0,BTAX-037378-05-2024,13:41.0
ALL SEASONS HEATING & AIR COND,JEFF KRULL,Inside City Limits,238220,Contractor-HVAC Services,,00:00.0,E6A0E23D-239A-45E1-94B5-7FE8D4DA2175,5414798777,2001,FOOTHILL,,,BLVD,,E12,GRANTS PASS,OR,97526,34:30.0,BTAX-037199-04-2024,34:30.0
ALL SEASONS LANDSCAPE MAINT   ,CHERYL  FROST,Inside City Limits,541320,Landscaping Services,,00:00.0,82B9BFD4-237A-4C21-85B9-CFD8604701AF,5416602367,983,BLACKBERRY,,SW,LN,,,GRANTS PASS,OR,97527,14:16.0,BTAX-034918-07-2023,14:16.0
