CompanyName,ContactName,Location,CodeNumber,BusinessType,dba,OpenedDate,BLGLOBALENTITYEXTENSIONID,BusinessPhone,ADDRESSLINE1,ADDRESSLINE2,ADDRESSLINE3,PREDIRECTION,STREETTYPE,POSTDIRECTION,UNITORSUITE,CITY,STATE,POSTALCODE,ISSUEDDATE,LICENSENUMBER,EXPIRATIONDATE
"5 C RENTALS LLC               ","JESSE, LEE, STEVEN, BRIAN & WILLIAM CALVERT",Outside City Limits,531110,Rental Units/Landlord,,2015-07-01 00:00:00.000,B1171988-9590-4985-8E4E-B5A851B19987,5412954108,C/O JESSE CALVERT,,PO BOX 818,,,,,GRANTS PASS,OR,97528,2025-10-03 14:32:17.000,BTAX-041935-10-2025,2026-10-31 14:32:17.000
"5 STAR PEST CONTROL           ",REBECCA  BERUBEE,Inside City Limits,561710,Pest Control,,2009-04-01 00:00:00.000,AB6BD1ED-C23E-4F9F-AA32-0A7326A42EA1,5414413755,233,ROGUE RIVER,,,HWY,,#898,GRANTS PASS,OR,97527,2025-07-16 10:55:00.000,BTAX-040798-07-2025,2026-07-31 10:55:00.000
541 PROPERTY MANAGEMENT LLC," ",Outside City Limits,531311,Property Management,,2016-07-06 00:00:00.000,1f37609a-4fc5-434c-bfce-a0fc80d6e6b7,5414761026,1630,WILLIAMS,,,HWY,,PMB 187,GRANTS PASS,OR,97527,2025-07-15 14:55:40.000,BTAX-040765-07-2025,2026-07-31 14:55:40.000
541 PROPERTY MANAGEMENT LLC,JEANETTE DARROW,Outside City Limits,531311,Property Management,,2016-07-06 00:00:00.000,1f37609a-4fc5-434c-bfce-a0fc80d6e6b7,5414761026,1630,WILLIAMS,,,HWY,,PMB 187,GRANTS PASS,OR,97527,2025-07-15 14:55:40.000,BTAX-040765-07-2025,2026-07-31 14:55:40.000
"5-STAR HOME BUILDERS, LLC DBA SHECKELS CONSTRUCTION",NOEL SHECKELS,Inside City Limits,238110,Contractor-Concrete/Found/Structural,,2018-08-01 00:00:00.000,336629f0-38b8-4db1-a549-2873a0897700,5417785408,915,ROSE,,SE,PL,,,GRANTS PASS,OR,97526,2025-09-02 16:23:07.000,BTAX-041610-09-2025,2026-09-30 16:23:07.000
"5-STAR HOME BUILDERS, LLC DBA SHECKELS CONSTRUCTION",NOEL SHECKELLS,Inside City Limits,238110,Contractor-Concrete/Found/Structural,,2018-08-01 00:00:00.000,336629f0-38b8-4db1-a549-2873a0897700,5417785408,915,ROSE,,SE,PL,,,GRANTS PASS,OR,97526,2025-09-02 16:23:07.000,BTAX-041610-09-2025,2026-09-30 16:23:07.000
80HD MASSAGE THERAPY," ",Inside City Limits,621399,Medical-Massage Therapy,,2023-10-31 00:00:00.000,14e94bd6-b2ae-4fc3-8d24-ead325e4ea9f,5416605541,215,6TH,,SE,ST,,207,GRANTS PASS,OR,97526,2025-11-24 11:53:25.000,BTAX-042344-11-2025,2026-11-30 11:53:25.000
80HD MASSAGE THERAPY,BRIDGET DUPZYK,Inside City Limits,621399,Medical-Massage Therapy,,2023-10-31 00:00:00.000,14e94bd6-b2ae-4fc3-8d24-ead325e4ea9f,5416605541,215,6TH,,SE,ST,,207,GRANTS PASS,OR,97526,2025-11-24 11:53:25.000,BTAX-042344-11-2025,2026-11-30 11:53:25.000
828 MOTOSPORTS LLC.,SEAN GUNN,Inside City Limits,811111,Auto-General Repair,,2020-07-20 00:00:00.000,311bbacc-08f3-475c-a293-a77ab6ac8fc1,5417877791,1322-A,GOLDEN PARK,,,DR,,,GRANTS PASS,OR,97527,2025-07-29 08:54:31.000,BTAX-041033-07-2025,2026-07-31 08:54:31.000
828 MOTOSPORTS LLC.," ",Inside City Limits,811111,Auto-General Repair,,2020-07-20 00:00:00.000,311bbacc-08f3-475c-a293-a77ab6ac8fc1,5417877791,1322-A,GOLDEN PARK,,,DR,,,GRANTS PASS,OR,97527,2025-07-29 08:54:31.000,BTAX-041033-07-2025,2026-07-31 08:54:31.000
88 SPA INC,MING XI,Inside City Limits,621399,Medical-Massage Therapy,,2024-03-12 00:00:00.000,f11598c4-e879-4b1c-b647-a6c5f03a282b,9172928229,1252,6TH,,NW,ST,,SUITE 10,GRANTS PASS,OR,97526,2025-05-21 15:35:46.000,BTAX-040407-05-2025,2026-05-31 15:35:46.000
88 SPA INC," ",Inside City Limits,621399,Medical-Massage Therapy,,2024-03-12 00:00:00.000,f11598c4-e879-4b1c-b647-a6c5f03a282b,9172928229,1252,6TH,,NW,ST,,SUITE 10,GRANTS PASS,OR,97526,2025-05-21 15:35:46.000,BTAX-040407-05-2025,2026-05-31 15:35:46.000
99 ASIAN MASSAGE," ",Inside City Limits,621399,Medical-Massage Therapy,,2018-08-28 00:00:00.000,382e61ea-6ed5-4709-882b-e6d865724c63,5416595412,1100,7TH,,NE,ST,,SUITE A,GRANTS PASS,OR,97526,2025-09-03 14:50:03.000,BTAX-041629-09-2025,2026-09-30 14:50:03.000
99 ASIAN MASSAGE,JIEWEN HUANG,Inside City Limits,621399,Medical-Massage Therapy,,2018-08-28 00:00:00.000,382e61ea-6ed5-4709-882b-e6d865724c63,5416595412,1100,7TH,,NE,ST,,SUITE A,GRANTS PASS,OR,97526,2025-09-03 14:50:03.000,BTAX-041629-09-2025,2026-09-30 14:50:03.000
99 ASIAN MASSAGE,GUIFEN YIN,Inside City Limits,621399,Medical-Massage Therapy,,2018-08-28 00:00:00.000,382e61ea-6ed5-4709-882b-e6d865724c63,5416595412,1100,7TH,,NE,ST,,SUITE A,GRANTS PASS,OR,97526,2025-09-03 14:50:03.000,BTAX-041629-09-2025,2026-09-30 14:50:03.000
A & S CLEANING LLC,SHAYNA HOWELL,Inside City Limits,561720,Cleaning Service,,2018-07-17 00:00:00.000,3cddae01-ae98-46e4-8a09-50a8b365cba8,5412266599,5000,REDWOOD,," ",AVE,," ",GRANTS PASS,OR,97527,2025-08-26 10:40:25.000,BTAX-041557-08-2025,2026-08-31 10:40:25.000
A & S CLEANING LLC," ",Inside City Limits,561720,Cleaning Service,,2018-07-17 00:00:00.000,3cddae01-ae98-46e4-8a09-50a8b365cba8,5412266599,5000,REDWOOD,," ",AVE,," ",GRANTS PASS,OR,97527,2025-08-26 10:40:25.000,BTAX-041557-08-2025,2026-08-31 10:40:25.000
A & S CLEANING LLC,ADAM HOWELL,Inside City Limits,561720,Cleaning Service,,2018-07-17 00:00:00.000,3cddae01-ae98-46e4-8a09-50a8b365cba8,5412266599,5000,REDWOOD,," ",AVE,," ",GRANTS PASS,OR,97527,2025-08-26 10:40:25.000,BTAX-041557-08-2025,2026-08-31 10:40:25.000
A & S CONSTRUCTION & FENCING LLC," ",Inside City Limits,238190,Contractor-General/Building Exterior,,2018-10-12 00:00:00.000,172c992a-bc8e-423b-b478-b554598ef601,5414416540,5000,REDWOOD,," ",AVE,," ",GRANTS PASS,OR,97527,2025-10-29 13:13:12.000,BTAX-042152-10-2025,2026-10-31 13:13:12.000
A & S CONSTRUCTION & FENCING LLC,ADAM HOWELL,Inside City Limits,238190,Contractor-General/Building Exterior,,2018-10-12 00:00:00.000,172c992a-bc8e-423b-b478-b554598ef601,5414416540,5000,REDWOOD,," ",AVE,," ",GRANTS PASS,OR,97527,2025-10-29 13:13:12.000,BTAX-042152-10-2025,2026-10-31 13:13:12.000
"A 1 PROFESSIONAL SERVICES LLC ","JUDITH/WRIGHT, RACHEL  CROTTS",Inside City Limits,541211,Accountant-CPA,,2003-12-04 00:00:00.000,81479916-E51E-467C-A1E9-93888C9E3270,5414766691,1370,ROGUE RIVER,,,HWY,,,GRANTS PASS,OR,97527,2026-01-20 15:26:37.000,BTAX-042665-01-2026,2027-01-31 15:26:37.000
"A NAIL DETAIL                 ","LISA/MATHEWS, AMBER  JOHNSON",Inside City Limits,812113,Nail Salon,,2003-11-03 00:00:00.000,C667CB3C-DB4C-4A70-B524-A0D98957405C,5414729210,1573,6TH,,NE,ST,,,GRANTS PASS,OR,97526,2025-08-19 16:23:44.000,BTAX-041435-08-2025,2026-08-31 16:23:44.000
A REFRESHED NEST," ",Inside City Limits,541990,Professional-Misc,,2019-01-11 00:00:00.000,06c62237-43a8-4855-9883-571729d25794,5414413268,1012,BELLEVUE,,NW,PL,,,GRANTS PASS,OR,97526,2026-03-10 15:06:12.000,BTAX-042941-03-2026,2027-02-28 15:06:12.000
A REFRESHED NEST,KATIE HAMLYN,Inside City Limits,541990,Professional-Misc,,2019-01-11 00:00:00.000,06c62237-43a8-4855-9883-571729d25794,5414413268,1012,BELLEVUE,,NW,PL,,,GRANTS PASS,OR,97526,2026-03-10 15:06:12.000,BTAX-042941-03-2026,2027-02-28 15:06:12.000
"A RIGHT NOW JEWELRY & REPAIR  ",MATTHEW  O'DEAY,Inside City Limits,448310,Retail-Jewelry Store,,2003-09-13 00:00:00.000,56619E18-82D2-4EF9-9130-1DB1CD8ADBFA,5414796819,629,6TH,,NE,ST,,,GRANTS PASS,OR,97526,2025-09-03 11:54:23.000,BTAX-041627-09-2025,2026-09-30 11:54:23.000
"A TO Z TREE SERVICE INC       ",BRUCE  ZIEGLER,Inside City Limits,541990,Professional-Misc,,1995-08-29 00:00:00.000,12BD65D8-F4F0-4AF2-939E-5104FE1425F2,5417871723,PO BOX 1978,,,,,,,GRANTS PASS,OR,97528,2025-08-11 15:58:09.000,BTAX-041154-08-2025,2026-07-31 15:58:09.000
"A-1 MARKET                    ",RAKESH  SHARMA,Inside City Limits,445120,Convenience Store,,2010-10-01 00:00:00.000,1950DF85-000E-4C54-972C-EFF57E88375C,5412953020,225,8TH,,SE,ST,,,GRANTS PASS,OR,97526,2025-12-11 11:41:51.000,BTAX-042446-12-2025,2026-12-31 11:41:51.000
A-1 MINI STORAGE PROPERTIES LLC,MARCIA NUNN,Inside City Limits,493110,Storage & General Warehousing,,2019-09-13 00:00:00.000,79f872f5-7c8f-44b2-8b0a-37f0b9c79797,5414761525,1151,WILLOW,,,LN,,,GRANTS PASS,OR,97527,2025-09-05 12:42:41.000,BTAX-041656-09-2025,2026-09-30 12:42:41.000
A-1 MINI STORAGE PROPERTIES LLC," ",Inside City Limits,493110,Storage & General Warehousing,,2019-09-13 00:00:00.000,79f872f5-7c8f-44b2-8b0a-37f0b9c79797,5414761525,1151,WILLOW,,,LN,,,GRANTS PASS,OR,97527,2025-09-05 12:42:41.000,BTAX-041656-09-2025,2026-09-30 12:42:41.000
"A-1 ROADSIDE ASSIST & TOWING           "," ",Outside City Limits,488410,Towing,,2018-07-16 00:00:00.000,f235617b-a866-438e-8c83-32d09bb5174d,5414719595,130,SUSAN,,SW,LN,,,GRANTS PASS,OR,97526,2025-08-15 15:07:11.000,BTAX-041293-08-2025,2026-08-31 15:07:11.000
"A-1 ROADSIDE ASSIST & TOWING           ",JOHN & KATHLEEN INGRAM,Outside City Limits,488410,Towing,,2018-07-16 00:00:00.000,f235617b-a866-438e-8c83-32d09bb5174d,5414719595,130,SUSAN,,SW,LN,,,GRANTS PASS,OR,97526,2025-08-15 15:07:11.000,BTAX-041293-08-2025,2026-08-31 15:07:11.000
"A-1 ROADSIDE ASSIST & TOWING           "," ",Inside City Limits,488410,Towing,,2014-07-10 00:00:00.000,0AC63E73-73F8-4744-BD62-F00B02216B75,5414719595,130,SUSAN,,SW,LN,,,GRANTS PASS,OR,97526,2025-08-14 15:03:14.000,BTAX-041267-08-2025,2026-08-31 15:03:14.000
"A-1 ROADSIDE ASSIST & TOWING           ",JOHN & KATHLEEN INGRAM,Inside City Limits,488410,Towing,,2014-07-10 00:00:00.000,0AC63E73-73F8-4744-BD62-F00B02216B75,5414719595,130,SUSAN,,SW,LN,,,GRANTS PASS,OR,97526,2025-08-14 15:03:14.000,BTAX-041267-08-2025,2026-08-31 15:03:14.000
A2 INVESTMENTS LLC," ",Inside City Limits,531110,Rental Units/Landlord,,2020-02-26 00:00:00.000,49332aa9-89fe-4834-aa17-5c95dfce31cd,5417615431,839,SLEEPY HOLLOW,,,LP,,,GRANTS PASS,,97527,2025-12-26 11:41:43.000,BTAX-042511-12-2025,2026-11-30 11:41:43.000
A2 INVESTMENTS LLC,JODIE AND SPENCER APLAND,Inside City Limits,531110,Rental Units/Landlord,,2020-02-26 00:00:00.000,49332aa9-89fe-4834-aa17-5c95dfce31cd,5417615431,839,SLEEPY HOLLOW,,,LP,,,GRANTS PASS,,97527,2025-12-26 11:41:43.000,BTAX-042511-12-2025,2026-11-30 11:41:43.000
AA INSULATION," ",Outside City Limits,238190,Contractor-General/Building Exterior,,2017-04-21 00:00:00.000,97f04923-4951-4e3d-8aca-000d5df28116,5415351818,PO BOX 1119,,,,,,,ASHLAND,OR,97520,2025-07-22 12:29:29.000,BTAX-040874-07-2025,2026-07-31 12:29:29.000
AA INSULATION,HOWARD OSVOLD,Outside City Limits,238190,Contractor-General/Building Exterior,,2017-04-21 00:00:00.000,97f04923-4951-4e3d-8aca-000d5df28116,5415351818,PO BOX 1119,,,,,,,ASHLAND,OR,97520,2025-07-22 12:29:29.000,BTAX-040874-07-2025,2026-07-31 12:29:29.000
AAA ABSOLUTE AIR AUTHORITY LLC," ",Outside City Limits,238220,Contractor-HVAC Services,,2017-09-22 00:00:00.000,7989a6c2-16c5-486a-9e8d-8c7ce11507e8,5417081311,1670,STEWART,,W,AVE,,,MEDFORD,OR,97501,2026-02-18 11:06:02.000,BTAX-042822-02-2026,2027-02-28 11:06:02.000
AAA ABSOLUTE AIR AUTHORITY LLC,CARLA TRYBER,Outside City Limits,238220,Contractor-HVAC Services,,2017-09-22 00:00:00.000,7989a6c2-16c5-486a-9e8d-8c7ce11507e8,5417081311,1670,STEWART,,W,AVE,,,MEDFORD,OR,97501,2026-02-18 11:06:02.000,BTAX-042822-02-2026,2027-02-28 11:06:02.000
"AAA OREGON                    "," AAA OREGON/IDAHO              ",Inside City Limits,541990,Professional-Misc,,1990-12-30 00:00:00.000,B9F98CB6-AA4C-47A2-975E-0B3FC7B59346,5414797829,1563,"F ",,NE,ST,,,GRANTS PASS,OR,97526,2025-10-14 12:39:59.000,BTAX-042006-10-2025,2026-10-31 12:39:59.000
AAKEN CONSTRUCTION," ",Outside City Limits,238210,Contractor-Electrical,,2022-08-12 00:00:00.000,18f4f4de-7ca9-43ae-abf9-9e17c4f84235,5413309545,1260,1ST,,NE,,,,BEND,OR,97701,2025-08-14 15:06:09.000,BTAX-041269-08-2025,2026-08-31 15:06:09.000
AAKEN CONSTRUCTION,TYSON SHORES,Outside City Limits,238210,Contractor-Electrical,,2022-08-12 00:00:00.000,18f4f4de-7ca9-43ae-abf9-9e17c4f84235,5413309545,1260,1ST,,NE,,,,BEND,OR,97701,2025-08-14 15:06:09.000,BTAX-041269-08-2025,2026-08-31 15:06:09.000
AAKEN CONSTRUCTION,AARON CLICKETT,Outside City Limits,238210,Contractor-Electrical,,2022-08-12 00:00:00.000,18f4f4de-7ca9-43ae-abf9-9e17c4f84235,5413309545,1260,1ST,,NE,,,,BEND,OR,97701,2025-08-14 15:06:09.000,BTAX-041269-08-2025,2026-08-31 15:06:09.000
AARON'S LLC," ",Inside City Limits,442110,Retail-Furniture Store,AARON'S SALES AND LEASE OWNERSHIP #C2054,2020-11-01 00:00:00.000,f94424bf-f2d3-43d5-9655-79cc21ce2348,5414711300,400,GALLERIA,ATTN: TAX DEPT,,PKWY,SE,STE 300,ATLANTA,GA,30339,2026-01-12 11:57:41.000,BTAX-042598-01-2026,2026-12-31 11:57:41.000
AB CHASE CONSTRUCTION LLC," ",Outside City Limits,238190,Contractor-General/Building Exterior,,2022-02-17 00:00:00.000,2d23a2aa-0bd5-441c-b7c6-689a51c7280c,5419934835,200,MAIN,,E,ST,,,ENTERPRISE,OR,97828,2025-05-22 14:09:23.000,BTAX-040410-05-2025,2026-05-31 14:09:23.000
AB CHASE CONSTRUCTION LLC,ANGELA CHASE,Outside City Limits,238190,Contractor-General/Building Exterior,,2022-02-17 00:00:00.000,2d23a2aa-0bd5-441c-b7c6-689a51c7280c,5419934835,200,MAIN,,E,ST,,,ENTERPRISE,OR,97828,2025-05-22 14:09:23.000,BTAX-040410-05-2025,2026-05-31 14:09:23.000
ABBEY ROADS CLEAN AIR LLC,BRENDON Massa,Inside City Limits,561790,Chimney Cleaning/Sweep,,1986-07-01 00:00:00.000,D8143D9B-F4B5-480D-A505-E92E33BA56FE,5414768780,501,STRINGER GAP,,,RD,,,GRANTS PASS,OR,97527,2025-09-12 16:41:51.000,BTAX-041751-09-2025,2026-09-30 16:41:51.000
ABBEY ROADS CLEAN AIR LLC," ",Inside City Limits,561790,Chimney Cleaning/Sweep,,1986-07-01 00:00:00.000,D8143D9B-F4B5-480D-A505-E92E33BA56FE,5414768780,501,STRINGER GAP,,,RD,,,GRANTS PASS,OR,97527,2025-09-12 16:41:51.000,BTAX-041751-09-2025,2026-09-30 16:41:51.000
"ABBY'S LEGENDARY PIZZA        "," ABBY'S INC                    ",Inside City Limits,722511,Restaurant,,1997-01-01 00:00:00.000,DC63A696-E76E-4484-A89B-DAB4FD8DD8AB,5414762133,205,BEACON,,NE,DR,,,GRANTS PASS,OR,97526,2025-05-27 12:56:58.000,BTAX-040420-05-2025,2026-05-31 12:56:58.000
"ABOUT ELDER TRANSITIONS, LLC  ",MARILYN & RICHARD  RECKNER,Inside City Limits,525920,"Trusts, Estates, and Agency Accounts",,2009-09-09 00:00:00.000,466A34F6-C3D6-41ED-82FA-FFE05A423B8E,5412184975,106,"F ST, STE 197    ",,NW,,,,GRANTS PASS,OR,97526,2025-10-15 09:38:59.000,BTAX-042022-10-2025,2026-10-31 09:38:59.000
