FULLADDRESS,NOTIFICATION,STATUS,AddressType,CompleteStreetAddress,Add_Number,AddNum_Suf,St_PreDir,AbbreviatedPreDirectional,StreetNamePreModifier,StreetNamePreType,StreetNameSeparator,St_Name,St_PosTyp,AbbreviatedPostType,SubaddressType,SubaddressIdentifier,Floor,Building,Post_Code,NOTES,GlobalID,created_user,created_date,last_edited_user,last_edited_date,CompleteAddressNumber,CompleteStreetName,CompleteSubaddress,PlaceStateZip,Post_Comm,StateName,Inc_Muni,Uninc_Comm,x,y,longitude,latitude
650 PLEASANT VALLEY RD,,Other,,650 PLEASANT VALLEY ROAD ,650,,,,,,,PLEASANT VALLEY,ROAD,RD,,,,,97532,,{644E1DC5-3679-4D29-B170-CE3C24C255F0},,,GPGIS,6/27/2023 17:38:41,650,PLEASANT VALLEY ROAD,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13738820.114199999719858,5239519.538800001144409,-123.417920940000002,42.522155259999998
649 PLEASANT VALLEY RD,,Other,,649 PLEASANT VALLEY ROAD ,649,,,,,,,PLEASANT VALLEY,ROAD,RD,,,,,97532,,{87B003EF-28BE-40C4-86E4-520931819636},,,GPGIS,6/27/2023 17:38:41,649,PLEASANT VALLEY ROAD,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13738700.230299999937415,5239437.937700003385544,-123.416844010000005,42.521614999999997
635 PLEASANT VALLEY RD,,Other,,635 PLEASANT VALLEY ROAD ,635,,,,,,,PLEASANT VALLEY,ROAD,RD,,,,,97532,,{E5712C13-0B5D-4513-ACD5-A216F89F9C85},,,GPGIS,6/27/2023 17:38:41,635,PLEASANT VALLEY ROAD,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13738783.457499999552965,5239417.208200000226498,-123.417591650000006,42.521477750000003
755 PLEASANT VALLEY RD,,Other,,755 PLEASANT VALLEY ROAD ,755,,,,,,,PLEASANT VALLEY,ROAD,RD,,,,,97532,,{2A7709B5-28F9-428D-98E9-E2F9E1CD0BF1},,,GPGIS,6/27/2023 17:38:41,755,PLEASANT VALLEY ROAD,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13738250.224899999797344,5239431.679700002074242,-123.412801540000004,42.521573570000001
601 PLEASANT VALLEY RD,,Other,,601 PLEASANT VALLEY ROAD ,601,,,,,,,PLEASANT VALLEY,ROAD,RD,,,,,97532,,{77727BE7-95E8-4089-8740-BAEBFF487FD1},,,GPGIS,6/27/2023 17:38:41,601,PLEASANT VALLEY ROAD,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13738744.831799998879433,5239363.701399996876717,-123.417244670000002,42.521123490000001
745 PLEASANT VALLEY RD,,Other,,745 PLEASANT VALLEY ROAD ,745,,,,,,,PLEASANT VALLEY,ROAD,RD,,,,,97532,,{1BB66337-F4E8-44AC-B701-197C806D948B},,,GPGIS,6/27/2023 17:38:41,745,PLEASANT VALLEY ROAD,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13738261.187699999660254,5239653.050599999725819,-123.412900019999995,42.523039199999999
10000 MERLIN SANITARIUM RD,,Other,,10000 MERLIN SANITARIUM ROAD ,10000,,,,,,,MERLIN SANITARIUM,ROAD,RD,,,,,97532,,{D4247375-A28E-4060-AC78-0759C111CEBA},,,GPGIS,6/27/2023 17:38:41,10000,MERLIN SANITARIUM ROAD,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13738698.498399998992682,5235496.978500001132488,-123.416828449999997,42.495517309999997
170 ORT LN,,Other,,170 ORT LANE ,170,,,,,,,ORT,LANE,LN,,,,,97532,,{E3CC67FE-986B-4178-A15E-588BC715B924},,,GPGIS,6/27/2023 17:38:41,170,ORT LANE,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13738218.245200000703335,5237824.578400000929832,-123.412514259999995,42.510932380000000
605 MERLIN RD,,Other,,605 MERLIN ROAD ,605,,,,,,,MERLIN,ROAD,RD,,,,,97532,,{0ED0C90A-736F-43FD-A183-7FBC4A969072},,,GPGIS,6/27/2023 17:38:41,605,MERLIN ROAD,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13738548.607000000774860,5237735.596500001847744,-123.415481950000000,42.510343149999997
724 ORT LN,,Other,,724 ORT LANE ,724,,,,,,,ORT,LANE,LN,,,,,97532,,{9F94E9EC-B38D-4CFC-848E-E8FEBD612246},,,GPGIS,6/27/2023 17:38:41,724,ORT LANE,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13738054.260499998927116,5237754.844200000166893,-123.411041159999996,42.510470599999998
755 ORT LN,,Other,,755 ORT LANE ,755,,,,,,,ORT,LANE,LN,,,,,97532,,{5B1414C0-8B9C-48D9-B67B-8B85C5D08EA1},,,GPGIS,6/27/2023 17:38:41,755,ORT LANE,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13738405.212799999862909,5237698.191799998283386,-123.414193819999994,42.510095450000001
840 ORT LN,,Other,,840 ORT LANE ,840,,,,,,,ORT,LANE,LN,,,,,97532,,{BE779EEA-C989-4E7D-8172-328FB6C24D25},,,GPGIS,6/27/2023 17:38:41,840,ORT LANE,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13738229.695700000971556,5237734.242700003087521,-123.412617119999993,42.510334180000001
878 ORT LN,,Other,,878 ORT LANE ,878,,,,,,,ORT,LANE,LN,,,,,97532,,{0B88B0FF-BD94-4112-B37F-76E6071A01BF},,,GPGIS,6/27/2023 17:38:41,878,ORT LANE,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13738163.950500000268221,5237715.079400002956390,-123.412026519999998,42.510207280000003
851 ORT LN,,Other,,851 ORT LANE ,851,,,,,,,ORT,LANE,LN,,,,,97532,,{19F932F7-E541-4854-BE74-6E8A1D90412C},,,GPGIS,6/27/2023 17:38:41,851,ORT LANE,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13738256.414799999445677,5237659.337399996817112,-123.412857149999994,42.509838160000001
910 ORT LN,,Other,,910 ORT LANE ,910,,,,,,,ORT,LANE,LN,,,,,97532,,{B9613F7D-6D9D-4053-9D68-1F9E63EA4583},,,GPGIS,6/27/2023 17:38:41,910,ORT LANE,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13738114.549699999392033,5237692.102300003170967,-123.411582749999994,42.510055129999998
954 ORT LN,,Other,,954 ORT LANE ,954,,,,,,,ORT,LANE,LN,,,,,97532,,{D42AB1BD-B852-469B-97BB-50A752C8B80E},,,GPGIS,6/27/2023 17:38:41,954,ORT LANE,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13738040.798599999397993,5237657.291199997067451,-123.410920230000002,42.509824610000003
605 MERLIN SANITARIUM RD,,Other,,605 MERLIN SANITARIUM ROAD ,605,,,,,,,MERLIN SANITARIUM,ROAD,RD,,,,,97532,,{51BDD1CC-A30D-404C-9B08-746E3571A423},,,GPGIS,6/27/2023 17:38:41,605,MERLIN SANITARIUM ROAD,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13738706.690600000321865,5237404.832599997520447,-123.416902039999997,42.508152799999998
1215 PLEASANT VALLEY RD,,Other,,1215 PLEASANT VALLEY ROAD ,1215,,,,,,,PLEASANT VALLEY,ROAD,RD,,,,,97532,,{9A7A630B-A83B-4C2E-B2CA-0E9E0CF42DCA},,,GPGIS,6/27/2023 17:38:41,1215,PLEASANT VALLEY ROAD,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13737946.249499998986721,5240437.869300000369549,-123.410070880000006,42.528234980000001
1257 PLEASANT VALLEY RD,,Other,,1257 PLEASANT VALLEY ROAD ,1257,,,,,,,PLEASANT VALLEY,ROAD,RD,,,,,97532,,{72B405B7-08BA-40C0-B401-71E40F5BB6AE},,,GPGIS,6/27/2023 17:38:41,1257,PLEASANT VALLEY ROAD,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13737714.490299999713898,5240531.025399997830391,-123.407988959999997,42.528851680000002
1351 PLEASANT VALLEY RD,,Other,,1351 PLEASANT VALLEY ROAD ,1351,,,,,,,PLEASANT VALLEY,ROAD,RD,,,,,97532,,{D8BE66BC-800E-41AE-83A1-5493FE749848},,,GPGIS,6/27/2023 17:38:41,1351,PLEASANT VALLEY ROAD,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13737896.859400000423193,5240780.167800001800060,-123.409627200000003,42.530500979999999
1301 PLEASANT VALLEY RD,,Other,,1301 PLEASANT VALLEY ROAD ,1301,,,,,,,PLEASANT VALLEY,ROAD,RD,,,,,97532,,{77A1C89A-52AB-4ACE-91D4-FDAD6EBA2FBE},,,GPGIS,6/27/2023 17:38:41,1301,PLEASANT VALLEY ROAD,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13737953.073699999600649,5240686.729199998080730,-123.410132189999999,42.529882430000001
1245 PLEASANT VALLEY RD,,Other,,1245 PLEASANT VALLEY ROAD ,1245,,,,,,,PLEASANT VALLEY,ROAD,RD,,,,,97532,,{774FCECB-725F-48B0-9911-1691966F9AF5},,,GPGIS,6/27/2023 17:38:41,1245,PLEASANT VALLEY ROAD,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13737841.262400001287460,5240557.702399998903275,-123.409127769999998,42.529028279999999
1150 ORT LN,,Other,,1150 ORT LANE ,1150,,,,,,,ORT,LANE,LN,,,,,97532,,{EB2E2559-87AF-4421-849C-D0147A890424},,,GPGIS,6/27/2023 17:38:41,1150,ORT LANE,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13737719.285199999809265,5237595.085299998521805,-123.408032030000001,42.509412679999997
1015 ORT LN,,Other,,1015 ORT LANE ,1015,,,,,,,ORT,LANE,LN,,,,,97532,,{B7766883-4E76-43FD-8C87-8B3DF165BF4E},,,GPGIS,6/27/2023 17:38:41,1015,ORT LANE,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13737809.371700000017881,5236792.960500001907349,-123.408841289999998,42.504100719999997
1293 ORT LN,,Other,,1293 ORT LANE ,1293,,,,,,,ORT,LANE,LN,,,,,97532,,{EE4087ED-427E-4100-B539-AE4A048153CB},,,GPGIS,6/27/2023 17:38:41,1293,ORT LANE,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13737462.057300001382828,5237180.751900002360344,-123.405721310000004,42.506668869999999
125 MAUPIN LN,,Other,,125 MAUPIN LANE ,125,,,,,,,MAUPIN,LANE,LN,,,,,97532,,{E270E746-8A6A-4AB0-B7F9-D446CE4EDE0E},,,GPGIS,6/27/2023 17:38:41,125,MAUPIN LANE,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13737967.001000000163913,5237282.705700002610683,-123.410257299999998,42.507344040000000
173 MAUPIN LN,,Other,,173 MAUPIN LANE ,173,,,,,,,MAUPIN,LANE,LN,,,,,97532,,{508A8E14-0424-4B3C-8102-B4F7D9561680},,,GPGIS,6/27/2023 17:38:41,173,MAUPIN LANE,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13737966.783700000494719,5237127.693800002336502,-123.410255350000000,42.506317500000002
1013 ORT LN,,Other,,1013 ORT LANE ,1013,,,,,,,ORT,LANE,LN,,,,,97532,,{C45B86B2-F60C-4180-8F7F-4FD9B0F68263},,,GPGIS,6/27/2023 17:38:41,1013,ORT LANE,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13738354.294399999082088,5236796.148199997842312,-123.413736409999999,42.504121830000003
1196 ORT LN,,Other,,1196 ORT LANE ,1196,,,,,,,ORT,LANE,LN,,,,,97532,,{71E3FC67-A441-460A-8CD2-0B3E34D5EA55},,,GPGIS,6/27/2023 17:38:41,1196,ORT LANE,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13737617.884899999946356,5237507.920800000429153,-123.407121129999993,42.508835460000000
1061 ORT LN,,Other,,1061 ORT LANE ,1061,,,,,,,ORT,LANE,LN,,,,,97532,,{1CF157FE-ECC9-40D2-B1B6-04AB10AD3BE5},,,GPGIS,6/27/2023 17:38:41,1061,ORT LANE,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13737976.140700001269579,5237465.055500000715256,-123.410339399999998,42.508551599999997
1110 ORT LN,,Other,,1110 ORT LANE ,1110,,,,,,,ORT,LANE,LN,,,,,97532,,{ABC768F3-C192-43E2-A0F7-BFB450F0BB62},,,GPGIS,6/27/2023 17:38:41,1110,ORT LANE,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13737781.235199999064207,5237524.631700001657009,-123.408588530000003,42.508946129999998
1120 ORT LN,,Other,,1120 ORT LANE ,1120,,,,,,,ORT,LANE,LN,,,,,97532,,{EC0F25C2-7EEB-490B-9FB2-FCFB5C6DB835},,,GPGIS,6/27/2023 17:38:41,1120,ORT LANE,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13737730.526599999517202,5237498.250100001692772,-123.408133010000000,42.508771420000002
1111 ORT LN,,Other,,1111 ORT LANE ,1111,,,,,,,ORT,LANE,LN,,,,,97532,,{1F7F993A-5322-4682-B9D9-BB0DF4AA8826},,,GPGIS,6/27/2023 17:38:41,1111,ORT LANE,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13737812.097899999469519,5237270.703199997544289,-123.408865779999999,42.507264560000003
1155 ORT LN,,Other,,1155 ORT LANE ,1155,,,,,,,ORT,LANE,LN,,,,,97532,,{EA7E2221-3551-4556-AB4B-E5B734ED02A8},,,GPGIS,6/27/2023 17:38:41,1155,ORT LANE,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13737711.914300000295043,5237171.326300002634525,-123.407965809999993,42.506606450000000
1171 ORT LN,,Other,,1171 ORT LANE ,1171,,,,,,,ORT,LANE,LN,,,,,97532,,{2B40F3DB-EEEA-430E-A633-635C3C0CC5E9},,,GPGIS,6/27/2023 17:38:41,1171,ORT LANE,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13737704.523299999535084,5237330.114799998700619,-123.407899420000007,42.507657999999999
1211 ORT LN,,Other,,1211 ORT LANE ,1211,,,,,,,ORT,LANE,LN,,,,,97532,,{24B1EECB-5B49-4D4F-A361-5D6822E19911},,,GPGIS,6/27/2023 17:38:41,1211,ORT LANE,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13737594.957699999213219,5237214.726700000464916,-123.406915179999999,42.506893859999998
934 MERLIN SANITARIUM RD,,Other,,934 MERLIN SANITARIUM ROAD ,934,,,,,,,MERLIN SANITARIUM,ROAD,RD,,,,,97532,,{9D8632FF-FD32-462A-BF40-D0FAA11FFCB9},,,GPGIS,6/27/2023 17:38:41,934,MERLIN SANITARIUM ROAD,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13738900.657299999147654,5236525.091700002551079,-123.418644470000004,42.502326689999997
345 MERLIN RD,,Other,,345 MERLIN ROAD ,345,,,,,,,MERLIN,ROAD,RD,,,,,97532,,{0192924D-17E3-450B-BC5C-A2E48FCA7CD7},,,GPGIS,6/27/2023 17:38:41,345,MERLIN ROAD,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13738996.430100001394749,5238440.628899998962879,-123.419504820000000,42.515011680000001
450 MERLIN RD,,Other,,450 MERLIN ROAD ,450,,,,,,,MERLIN,ROAD,RD,,,,,97532,,{16438CE4-2FC2-4928-AE50-8BA0266D6C86},,,GPGIS,6/27/2023 17:38:41,450,MERLIN ROAD,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13738812.931099999696016,5238287.128399997949600,-123.417856420000007,42.513995270000002
101 ACORN ST,,Other,,101 ACORN STREET ,101,,,,,,,ACORN,STREET,ST,,,,,97532,,{E6DD34F3-E7AB-4858-AC4B-ACBE6BA56D09},,,GPGIS,6/27/2023 17:38:41,101,ACORN STREET,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13738945.159499999135733,5238092.405599996447563,-123.419044240000005,42.512705879999999
561 MERLIN RD,,Other,,561 MERLIN ROAD ,561,,,,,,,MERLIN,ROAD,RD,,,,,97532,,{7EA9E4F0-B0CD-44A1-9E0C-B78E98FDA279},,,GPGIS,6/27/2023 17:38:41,561,MERLIN ROAD,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13738746.184200000017881,5238129.183700002729893,-123.417256820000006,42.512949419999998
105 MERLIN SANITARIUM RD,,Other,,105 MERLIN SANITARIUM ROAD ,105,,,,,,,MERLIN SANITARIUM,ROAD,RD,,,,,97532,,{22F5BCF4-971F-43C8-B41B-113774BB7E9B},,,GPGIS,6/27/2023 17:38:41,105,MERLIN SANITARIUM ROAD,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13738773.813000001013279,5238028.422499999403954,-123.417505009999999,42.512282200000001
1415 ORT LN,,Other,,1415 ORT LANE ,1415,,,,,,,ORT,LANE,LN,,,,,97532,,{3CB8FF60-30B4-4A01-B353-CD4C51A54FF7},,,GPGIS,6/27/2023 17:38:41,1415,ORT LANE,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13737261.514600001275539,5237073.301700003445148,-123.403919810000005,42.505957289999998
1270 ORT LN,,Other,,1270 ORT LANE ,1270,,,,,,,ORT,LANE,LN,,,,,97532,,{E9D147B1-9AFA-43F9-B183-CCA222DAC60F},,,GPGIS,6/27/2023 17:38:41,1270,ORT LANE,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13737482.256599999964237,5237438.709200002253056,-123.405902760000004,42.508377130000000
1298 ORT LN,,Other,,1298 ORT LANE ,1298,,,,,,,ORT,LANE,LN,,,,,97532,,{0431FF8B-47F5-4741-B056-1E04C1765286},,,GPGIS,6/27/2023 17:38:41,1298,ORT LANE,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13737326.058800000697374,5237350.373099997639656,-123.404499619999996,42.507792150000000
111 HAINES LN,,Other,,111 HAINES LANE ,111,,,,,,,HAINES,LANE,LN,,,,,97532,,{088B5A00-987A-454F-8001-9A514731A13D},,,GPGIS,6/27/2023 17:38:41,111,HAINES LANE,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13738791.824300000444055,5238562.435599997639656,-123.417666810000000,42.515818220000000
310 MERLIN RD,,Other,,310 MERLIN ROAD ,310,,,,,,,MERLIN,ROAD,RD,,,,,97532,,{7EE3995E-5E8D-4013-8BDE-7BD1FD1A8DC9},,,GPGIS,6/27/2023 17:38:41,310,MERLIN ROAD,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13738999.051899999380112,5238544.519799999892712,-123.419528369999995,42.515699589999997
111 TAVIS DR,,Other,,111 TAVIS DRIVE ,111,,,,,,,TAVIS,DRIVE,DR,,,,,97532,,{BD0A55EE-480B-4490-8EDA-06D7D94B821A},,,GPGIS,6/27/2023 17:38:41,111,TAVIS DRIVE,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13738880.875300001353025,5239433.909800000488758,-123.418466769999995,42.521588330000000
143 TAVIS DR,,Other,,143 TAVIS DRIVE ,143,,,,,,,TAVIS,DRIVE,DR,,,,,97532,,{37850BBE-8AD7-4E1E-8668-C1F5984A7E84},,,GPGIS,6/27/2023 17:38:41,143,TAVIS DRIVE,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13738939.662999998778105,5239392.766800001263618,-123.418994870000006,42.521315930000000
568 PLEASANT VALLEY RD,,Other,,568 PLEASANT VALLEY ROAD ,568,,,,,,,PLEASANT VALLEY,ROAD,RD,,,,,97532,,{848FCFAE-C7EB-4535-8676-D7F22A49E40C},,,GPGIS,6/27/2023 17:38:41,568,PLEASANT VALLEY ROAD,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13738897.416899999603629,5239321.638899996876717,-123.418615369999998,42.520845000000001
160 TAVIS DR,,Other,,160 TAVIS DRIVE ,160,,,,,,,TAVIS,DRIVE,DR,,,,,97532,,{E7799A51-407C-42B8-B345-EEBF5BE857B7},,,GPGIS,6/27/2023 17:38:41,160,TAVIS DRIVE,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13738953.677500000223517,5239305.929600000381470,-123.419120759999998,42.520740990000000
560 PLEASANT VALLEY RD,,Other,,560 PLEASANT VALLEY ROAD ,560,,,,,,,PLEASANT VALLEY,ROAD,RD,,,,,97532,,{33F2D74F-2DA6-49E8-9BE5-A61C93598B3A},,,GPGIS,6/27/2023 17:38:41,560,PLEASANT VALLEY ROAD,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13738928.095200000330806,5239253.644299998879433,-123.418890950000005,42.520394820000000
105 TAVIS DR,,Other,,105 TAVIS DRIVE ,105,,,,,,,TAVIS,DRIVE,DR,,,,,97532,,{96FB4395-E1AB-48A2-86B6-F7EE234A2C78},,,GPGIS,6/27/2023 17:38:41,105,TAVIS DRIVE,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13738868.084599999710917,5239355.809600003063679,-123.418351869999995,42.521071239999998
487 PLEASANT VALLEY RD,,Other,,487 PLEASANT VALLEY ROAD ,487,,,,,,,PLEASANT VALLEY,ROAD,RD,,,,,97532,,{A6767C33-B906-422A-8F45-5B96474E0B8C},,,GPGIS,6/27/2023 17:38:41,487,PLEASANT VALLEY ROAD,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13739026.988900000229478,5239123.094499997794628,-123.419779329999997,42.519530449999998
434 PLEASANT VALLEY RD,,Other,,434 PLEASANT VALLEY ROAD ,434,,,,,,,PLEASANT VALLEY,ROAD,RD,,,,,97532,,{F39FA936-3234-49A7-B8C7-066B2B1A386B},,,GPGIS,6/27/2023 17:38:41,434,PLEASANT VALLEY ROAD,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13738949.984000001102686,5239105.472099997103214,-123.419087579999996,42.519413780000001
301 HAINES LN,,Other,,301 HAINES LANE ,301,,,,,,,HAINES,LANE,LN,,,,,97532,,{9EE26FAE-FE8F-4EDD-8FBE-7CDF0CF05157},,,GPGIS,6/27/2023 17:38:41,301,HAINES LANE,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13738796.143400000408292,5238951.219800002872944,-123.417705609999999,42.518392460000001
529 PLEASANT VALLEY RD,,Other,,529 PLEASANT VALLEY ROAD ,529,,,,,,,PLEASANT VALLEY,ROAD,RD,,,,,97532,,{C19B6CAC-144D-4A2E-A9E6-9F91185ADAFE},,,GPGIS,6/27/2023 17:38:41,529,PLEASANT VALLEY ROAD,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13738690.682900000363588,5239013.308200001716614,-123.416758239999993,42.518803550000001
310 PLEASANT VALLEY RD,,Other,,310 PLEASANT VALLEY ROAD ,310,,,,,,,PLEASANT VALLEY,ROAD,RD,,,,,97532,,{E8297AB9-C730-4980-B516-DA2C93F7E374},,,GPGIS,6/27/2023 17:38:41,310,PLEASANT VALLEY ROAD,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13738904.406500000506639,5238961.902699999511242,-123.418678150000005,42.518463189999999
