LICENSENUMBER,ContactName,CompanyName,DBA,NumberOfEmployees,Location,CodeNumber,BusinessType,BUSINESSPHONE,OpenedDate,BLGLOBALENTITYEXTENSIONID,situs_addressline1,situs_addressline2,situs_addressline3,situs_predirection,situs_streettype,situs_postdirection,situs_unitorsuite,situs_city,situs_state,situs_postalcode,mailing_addressline1,mailing_addressline2,mailing_addressline3,mailing_predirection,mailing_streettype,mailing_postdirection,mailing_unitorsuite,mailing_city,mailing_state,mailing_postalcode,ISSUEDDATE,EXPIRATIONDATE
BTAX-042021-10-2025,WILLIAM  RODDEN ,RETINA & VITREOUS CENTER SO PC,,24,Inside City Limits,621111,Medical-Physician,5414883192,1/11/2008 0:00,F0FFBB78-D38D-4A4C-A134-12B1A4E0CDA4,1019,7TH,,NE,ST,, ,GRANTS PASS,OR,97526,246,CATALINA,,,DR,,SUITE 1,ASHLAND,OR,97520,10/15/2025 9:33,10/31/2026 9:33
BTAX-042146-10-2025,JOHN  SCHWEIGER,COMING ATTRACTIONS THEATRES   ,SOUTHGATE CINEMAS,11,Inside City Limits,512131,Movie Theater,5414718503,12/31/1997 0:00,65C3C579-2845-4EDA-AB84-34D63ACAC433,1625,RINGUETTE,, ,ST,, ,GRANTS PASS,OR,97527,PO BOX 219,ASHLAND ,,,ST,,,ASHLAND,OR,97520,10/29/2025 12:17,10/31/2026 12:17
BTAX-042227-11-2025,BERTO VILLASENOR,GP AUTO GROUP LLC,,16,Inside City Limits,811191,Auto-Oil Change/Lubrication Shop,5415071116,10/3/2022 0:00,b8dda78e-9ef5-4658-97d9-b10f6e19ecbd,819,MILL,,SE,ST,, ,GRANTS PASS,OR,97526,2210,ASHLAND,,,ST,,,ASHLAND,OR,97520,11/6/2025 12:23,11/30/2026 12:23
BTAX-042253-11-2025,MARK  HUTTO,J AUSTIN & COMPANY           ,,2,Inside City Limits,458310,Retail-Jewelry Store,5414884312,3/1/2013 0:00,25A0A789-95F5-4EAC-ACFA-5CA695F27792,217,6TH,,SE,ST,, ,GRANTS PASS,OR,97526,1632,ASHLAND ,,,ST,,,ASHLAND,OR,97520,11/10/2025 11:09,11/30/2026 11:09
BTAX-042660-01-2026,NICK  BAIDA,,,2,Inside City Limits,812320,Dry Cleaning Services,5419971608,12/1/2006 0:00,7DFE1F9C-709F-4D82-BE36-9963FAE7A5EC,870,D,,NE,ST,, ,GRANTS PASS,OR,97526,2855,MAIN ,,E,ST,,,ASHLAND,OR,97520,1/20/2026 14:53,12/31/2026 14:53
BTAX-042661-01-2026,NICK  BAIDA,E-Z WASH LAUNDROMAT           ,,2,Inside City Limits,812320,Dry Cleaning Services,5414412210,8/29/2001 0:00,F06F96C7-E0E8-425D-B40D-360EDDAF57AF,1300,G,,SW,ST,, ,GRANTS PASS,OR,97526,2855,MAIN,,E,ST,,,ASHLAND,OR,97520,1/20/2026 14:55,12/31/2026 14:55
BTAX-043140-04-2026,NICK  BAIDA,CLEANLIFE LAUNDRY,,2,Inside City Limits,812320,Dry Cleaning Services,5416598546,3/1/2023 0:00,b8c6b472-61c6-4a46-81ec-f2051246535b,1720,REDWOOD,,,AVE,,G,GRANTS PASS,OR,97527,2855,MAIN,,E,ST,,,ASHLAND,OR,97520,4/14/2026 16:06,3/31/2027 16:06
BTAX-043275-05-2026,DENNIS WALKER,GP COTTAGES,,1,Inside City Limits,721199,All Other Traveler Accommodation,5037067353,11/1/2022 0:00,32cae5ba-f437-4c19-8f93-3bb280f05043,416,M,,SE,ST,,,GRANTS PASS,OR,97526,1467,SISKIYOU BLVD,,,,,2047,ASHLAND,OR,97520,5/12/2026 10:06,4/30/2027 10:06
BTAX-043462-06-2026,BRANDON CLARK,BRANDON CLARK ELECTRIC DBA BEAR CREEK ELECTRIC INC,BEAR CREEK ELECTRIC INC,2,Outside City Limits,238210,Contractor-Electrical,5414882799,4/28/2016 0:00,42749e6d-96fa-4c8a-ad29-4cb1a1bc89ae,,,,,,,,,,,PO BOX 368,,,,,,,ASHLAND,OR,97520,6/15/2026 11:54,6/30/2027 11:54
BTAX-043762-07-2026,,ADROIT CONSTRUCTION           ,,2,Outside City Limits,238190,Contractor-General/Building Exterior,5414824098,6/5/1995 0:00,D3C92555-1B8B-4070-8ECB-0B855D957D7A,,,,,,,,,,,PO BOX 609,,,,,,,ASHLAND,OR,97520,7/14/2026 11:51,7/31/2027 11:51
BTAX-043763-07-2026,STEVEN LAWRENCE,"ADROIT CONSTRUCTORS, INC.",,2,Outside City Limits,238190,Contractor-General/Building Exterior,5414824098,7/1/2020 0:00,9836c406-22cf-4288-94b2-8bae833eef40,,,,,,,,,,,PO BOX 936,,,,,,,ASHLAND,OR,97520,7/14/2026 11:54,7/31/2027 11:54
BTAX-043832-07-2026,HOWARD OSVOLD,AA INSULATION,,2,Outside City Limits,238190,Contractor-General/Building Exterior,5415351818,4/21/2017 0:00,97f04923-4951-4e3d-8aca-000d5df28116,407,BOARDMAN ,,,ST,,,MEDFORD,OR,97501,PO BOX 1119,,,,,,,ASHLAND,OR,97520,7/16/2026 10:43,7/31/2027 10:43
BTAX-042153-10-2025,DAVID ZAHKA,"SPECTROTEL, INC.",,1,Outside City Limits,517919,Telecommunications,6782577764,10/1/2020 0:00,36dac492-1a05-41b2-813d-e23d8bc05da7,3535 ROUTE 66 BLDG 7,,,,,,,NEPTUNE,NJ,07753,3575,PIEDMONT,,,RD,NE,BLDG 15-1550,ATLANTA,GA,30305,10/29/2025 14:24,10/31/2026 14:24
BTAX-042366-12-2025,MICHAEL HAYFORD,NCR VOYIX CORPORATION,,2,Outside City Limits,425120,Wholesale Agent,6788087909,9/3/2014 0:00,30334c8b-860c-4520-9025-1abfe8b7086a,,,,,,,,,,,ATTN: TAX DEPARTMENT,,864 SPRING ST NW,,,,,ATLANTA,GA,30308,12/2/2025 11:08,11/30/2026 11:08
BTAX-042598-01-2026,,AARON'S LLC,AARON'S SALES AND LEASE OWNERSHIP #C2054,7,Inside City Limits,449110,Retail-Furniture Store,5414711300,11/1/2020 0:00,f94424bf-f2d3-43d5-9655-79cc21ce2348,834,E,,NE,ST,, ,GRANTS PASS,OR,97526,400,GALLERIA,ATTN: TAX DEPT,,PKWY,SE,STE 300,ATLANTA,GA,30339,1/12/2026 11:57,12/31/2026 11:57
BTAX-042983-03-2026,,FREEDOM BUILDERS LLC          ,,6,Outside City Limits,238190,Contractor-General/Building Exterior,5418373720,2/1/2013 0:00,4B5776CF-1F37-499E-9D91-475643C2D726,,,,,,,,,,,238,LIVING SPRINGS,,,LN,,,AZALEA,OR,97410,3/16/2026 15:14,3/31/2027 15:14
BTAX-041989-10-2025,JEOFFREY FEGHALI,CEDARS GROUP INC,LITTLE CAESARS PIZZA,19,Inside City Limits,722511,Restaurant,6.61831E+12,5/4/2022 0:00,3e0ff9ef-9ed9-480a-b7fe-5cba3b784ba4,1616,WILLIAMS,,,Hwy,,,GRANTS PASS,OR,97527,5501,STOCKDALE,,,HWY,,11926,BAKERSFIELD,CA,93389,10/10/2025 10:55,10/31/2026 10:55
BTAX-042067-10-2025,GARY L & MARIANNE  PETERSON,THE PETERSON TRUST RENTALS,,1,Inside City Limits,531110,Rental Units/Landlord,5414792981,4/15/1986 0:00,08AAE4B3-2895-47B3-BC94-6FA40305AE7A,910,M,,SE,ST,, ,GRANTS PASS,OR,97526,505,11TH,,NW,ST,,,BATTLE GROUND,WA,98604,10/20/2025 14:43,10/31/2026 14:43
BTAX-042876-03-2026,KAREN JACKSON,"NICE DATA, LLC",NICE DATA,1,Inside City Limits,541519,Computer Services,6178352212,10/31/2019 0:00,5b9d771b-3c33-4289-9fc3-1aa1c819998c,1867,WILLIAMS,, ,HWY,,SUITE 279,GRANTS PASS,OR,97527,9450,GEMINI,,SW,DR,,PMB 696538,BEAVERTON,OR,970087105,3/2/2026 13:43,2/28/2027 13:43
BTAX-043854-07-2026,AARON & JULIE  VAN FLEET,TRITON COMMUNICATION LLC,,1,Outside City Limits,238990,Contractor-Trade/Specialty,5036155800,3/10/2003 0:00,04C61006-58FB-4B51-B74E-3837E0DF6EFE,,,,,,,,,,,8215,CIRRUS ,,SW,DR,,,BEAVERTON,OR,97008,7/17/2026 10:06,7/31/2027 10:06
BTAX-041609-09-2025,KEVIN MCCOLLY,COINSTAR ASSET HOLDINGS,COINSTAR,1,Outside City Limits,424210,Vending Machine Operator,4254107713,6/2/2016 0:00,3b695d1e-b95c-4071-9941-dfa934164184,,,,,,,,,,,COINSTAIR REGISTRATION,,PO BOX 91258,,,,,BELLEVUE,WA,98009,9/2/2025 16:01,8/31/2026 16:01
BTAX-041269-08-2025,TYSON SHORES,AAKEN CONSTRUCTION,,3,Outside City Limits,238210,Contractor-Electrical,5413309545,8/12/2022 0:00,18f4f4de-7ca9-43ae-abf9-9e17c4f84235,,,,,,,,,,,1260,1ST,,NE,,,,BEND,OR,97701,8/14/2025 15:06,8/31/2026 15:06
BTAX-041383-08-2025,DWYER WILLIAMS CHERKOSS ATTORNEYS,"DWYER WILLIAMS CHERKOSS ATTORNEYS, P.C.",,1,Outside City Limits,541110,Lawyer,5416170555,7/1/2007 0:00,942D17F3-FB32-4ED5-A2A2-223988636B63,777,7TH,,NE,ST,,SUITE 106,GRANTS PASS,OR,97526,1558,NANCY,,SW,WAY,,STE 101,BEND,OR,97702,8/19/2025 11:22,8/31/2026 11:22
BTAX-041908-10-2025,,LES SCHWAB TIRE CENTER        ,,27,Inside City Limits,441340,Retail-Tire Dealer,5414792671,4/6/2006 0:00,E4DB973C-67C0-44DF-A30E-CD1751EB0794,1694,6TH,,NW,ST,, ,GRANTS PASS,OR,97526,ATTN: STORE ACCOUNTING,PO BOX 5350,,,,,,BEND,OR,97708,10/1/2025 11:22,10/31/2026 11:22
BTAX-042193-11-2025,,ADVANTAGE DENTAL ORAL HEALTH CENTER,,9,Inside City Limits,621210,Medical-Dentist,5414921687,8/31/2016 0:00,08d1ebee-ce1d-4ddf-9d52-9cf246d8d353,1228,7TH,,NE,ST,, ,GRANTS PASS,OR,97526,63140 BRITTA,,,S,,,D104,BEND,OR,97703,11/6/2025 11:07,11/30/2026 11:07
BTAX-042287-11-2025,MIKE RICHARDSON,CB & R LLC,,3,Outside City Limits,238190,Contractor-General/Building Exterior,5414412271,11/16/2017 0:00,17621fa4-f33c-404f-b459-6b6b452bac5d,,,,,,,,,,,PO BOX 5366,,,,,,,BEND,OR,97708,11/14/2025 14:06,11/30/2026 14:06
BTAX-042435-12-2025,,CARLSON SIGN CO               ,,2,Outside City Limits,238990,Sign Installation/Painting,5413822182,1/2/2004 0:00,B22033BC-3C08-4768-B079-0C22B95D9EA3,,,,,,,,,,,1605,FORBES ,,NE,RD,,,BEND,OR,97701,12/10/2025 11:29,12/31/2026 11:29
BTAX-043749-07-2026,Stacy Irwin,LES SCHWAB TIRE CENTER #263   ,,36,Inside City Limits,441340,Retail-Tire Dealer,5419555200,9/13/2004 0:00,4A8F4981-F6E6-4C59-9CA1-F4A0D29B9407,320,UNION,, ,AVE,, ,GRANTS PASS,OR,97527,PO BOX 5350,,,,,,,BEND,OR,977085540,7/14/2026 10:43,7/31/2027 10:43
BTAX-043862-07-2026,TRACY  JONES,VYANET OPERATING GROUP INC,VYANET SECURITY ,4,Inside City Limits,561621,Security System Services,5412953223,10/7/2014 0:00,8CD82867-67F4-4AD4-AA5B-F33B5FF3FD34,916,TOWN CENTRE ,,,DR,,,MEDFORD,OR,97504,410,COLUMBIA,,SW,ST,,SUITE 120,BEND,OR,97702,7/20/2026 10:49,7/31/2027 10:49
BTAX-041172-08-2025,,WALMART INC,WALMART #1834,312,Inside City Limits,455110,Retail-Department Store,5414712822,7/25/1992 0:00,B5BC1D23-C75C-4E81-BC5C-1D19906C612E,135,TERRY,,NE,LN,, ,GRANTS PASS,OR,97526,ATTN:  WALMART LICENSING,,"702 SW 8TH ST, MS # 0500",,,,,BENTONVILLE,AR,727160500,8/12/2025 10:37,8/31/2026 10:37
BTAX-041218-08-2025,PETER  READ,"RI - GRANTS PASS, LLC           ",,2,Outside City Limits,531110,Rental Units/Landlord,5107045700,9/1/2011 0:00,E094A0C6-6523-44CB-9817-D8AB33A29A91,"270, 304, 310-350",AGNESS,,NE,AVE,,,GRANTS PASS,OR,97526,2025,FOURTH ,,,ST,,,BERKELEY,CA,94710,8/13/2025 10:17,8/31/2026 10:17
BTAX-041840-09-2025,BRYAN BARGANIER,IMPACT REHABILITATION PARTNERS LLC,BENCHMARK PHYSICAL THERAPY,3,Inside City Limits,621111,Medical-Physician,4232388921,7/1/2005 0:00,21234E1E-8100-43B5-9AAB-46271D3B8CCE,497,RAMSEY,,SW,AVE,,,GRANTS PASS,OR,97527,1200,CORPORATE,,,DR,,SUITE 400,BIRMINGHAM,AL,35242,9/22/2025 12:52,8/31/2026 12:52
BTAX-041841-09-2025,BRYAN BARGANIER,IMPACT REHABILITATION PARTNERS LLC,BENCHMARK PHYSICAL THERAPY,8,Inside City Limits,621111,Medical-Physician,4238034816,11/1/1999 0:00,7A0C5B3E-6B7F-4D37-A158-78A0980F56D9,625,RAMSEY,,SW,AVE,,SUITE B,GRANTS PASS,OR,97527,1200,CORPORATE,,,DR,,SUITE 400,BIRMINGHAM,AL,35242,9/22/2025 12:54,9/30/2026 12:54
BTAX-042339-11-2025,BRYAN BARGANIER,IMPACT REHABILITATION PARTNERS LLC,BENCHMARK PHYSICAL THERAPY,2,Inside City Limits,621111,Medical-Physician,4232388921,11/1/2008 0:00,F096DE3E-17CB-46BF-8BA0-776348853167,162,BEACON,,NE,DR,,SUITE 101,GRANTS PASS,OR,97526,1200,CORPORATE,,,DR,,SUITE 400,BIRMINGHAM,AL,35242,11/24/2025 10:40,11/30/2026 10:40
BTAX-042405-12-2025,BRYAN BARGANIER,IMPACT REHABILITATION PARTNERS LLC  ,BENCHMARK PHYSICAL THERAPY,4,Inside City Limits,621111,Medical-Physician,4232388921,7/1/2005 0:00,17DEB544-729F-440A-A39F-AEBC7DD8681B,2160,VINE,,NW,ST,, ,GRANTS PASS,OR,97526,1200,CORPORATE,,,DR,,SUITE 300,BIRMINGHAM,AL,35242,12/8/2025 11:53,11/30/2026 11:53
BTAX-037145-04-2024,,ADT LLC,,1,Outside City Limits,561621,Security System Services,5612262843,6/29/2012 0:00,92AD429E-8F55-4315-A753-69942CD1E203,7989,CIRRUS,,SW,DR,,22,BEAVERTON,OR,97008,PO BOX 310702,,ATTN: LICENSING DEPT,,,,,BOCA RATON,FL,33431,4/4/2024 11:54,1/31/2027 11:54
BTAX-041680-09-2025,,JOHNSON CONTROLS FIRE PROTECTION LP      ,,2,Outside City Limits,561621,Security System Services,5619126108,11/15/1993 0:00,A09FD8DF-1B38-41EB-9B34-26D797D1E03A,,,,,,,,,,,ATTN: LICENSING,,PO BOX 3042,,,,,BOCA RATON,FL,33431,9/8/2025 12:59,9/30/2026 12:59
BTAX-041943-10-2025,,JOHNSON CONTROLS SECURITY SOLUTIONS LLC,,2,Outside City Limits,561621,Security System Services,4075483622,7/25/1992 0:00,40DAC232-F992-4FCE-A246-50633A9F25B6,,,,,,,,,,,ATTN: LICENSING DEPT,,PO BOX 3042,,,,,BOCA RATON,FL,334310942,10/6/2025 14:55,9/30/2026 14:55
BTAX-043208-04-2026,DAVID SMAIL,ADT LLC,ADT SECURITY SERVICES,2,Inside City Limits,561621,Security System Services,5612262843,2/23/2021 0:00,98a6fda4-4eea-4cae-af73-f8a690ec913d,824,ROGUE RIVER,,,HWY,,UNIT D,GRANTS PASS,OR,97527,1501,YAMATO,,,RD,,DEPT 200,BOCA RATON,FL,33431,4/28/2026 9:59,3/31/2027 9:59
BTAX-042141-10-2025,,WINCO FOODS LLC              ,,134,Inside City Limits,445110,Food-Grocery Store,4582127000,1/28/2016 0:00,10E7C3D4-BE1E-44DF-8F1B-474E6802FC54,231,TERRY,,NE,LN,, ,GRANTS PASS,OR,97526,PO BOX 5756,,,,,,,BOISE,ID,83705,10/29/2025 11:30,10/31/2026 11:30
BTAX-042249-11-2025,TONY PARDI,CONTROL SYSTEMS NW LLC,,2,Outside City Limits,238210,Contractor-Electrical,4259515400,5/15/2019 0:00,1207e378-b551-476c-ba6a-3b272adb1840,,,,,,,,,,,22722,29TH,,,DR,SE,#210,BOTHELL,WA,98021,11/10/2025 10:49,11/30/2026 10:49
BTAX-043482-06-2026,Bernard Rowlett,"COOLSYS COMMERCIAL & INDUSTRIAL SOLUTIONS, INC.",,6,Outside City Limits,238220,Contractor-HVAC Services,7145109579,12/1/1989 0:00,3D85D9FE-519D-4C9B-9862-863CCC5B5BC0,,,,,,,,,,,145,STATE COLLEGE,,S,BLVD,,SUITE 200,BREA,CA,92821,6/22/2026 11:25,6/30/2027 11:25
BTAX-041514-08-2025,,GRANTS PASS II DIALYSIS #02074,,11,Inside City Limits,621492,Medical-Dialysis Center,5414790545,1/19/2007 0:00,F96FD43A-0472-4C46-99C9-54B931485B3E,1055,REDWOOD,, ,AVE,, ,GRANTS PASS,OR,97527,ATTN: L&C DEPT,,5200 VIRGINIA WAY,,,,,BRENTWOOD,TN,37027,8/22/2025 14:29,8/31/2026 14:29
BTAX-041515-08-2025,,REDWOOD DIALYSIS #05517    ,,10,Inside City Limits,621492,Medical-Dialysis Center,5414740776,7/18/1994 0:00,632B72BC-D579-438A-894C-20853A3B5F3C,201,L,,SW,ST,, ,GRANTS PASS,OR,97526,ATTN: L&C DEPT,,5200 VIRGINIA WAY,,,,,BRENTWOOD,TN,37027,8/22/2025 14:35,8/31/2026 14:35
BTAX-042434-12-2025,ANDREW MYER,"PALM INDUSTRIES, INC. DBA PALM RESTORE",,17,Inside City Limits,238190,Contractor-General/Building Exterior,5414740403,8/1/2019 0:00,e35de136-bc7c-4b97-9e51-8bf79bd4cf66,300,TECH,,,WAY,,BLDG A,GRANTS PASS,OR,97526,PO BOX 8038,,,,,,,BROOKINGS,OR,97415,12/10/2025 11:23,12/31/2026 11:23
BTAX-042908-03-2026,MARK  TOWNES,MARK TOWNES RENTALS           ,,1,Inside City Limits,531110,Rental Units/Landlord,5416592871,7/1/2008 0:00,B359301E-229B-4686-8648-071A1B1B8D8D,,,,,,,,,,,97981,HAZY,,,LN,,,BROOKINGS,OR,97415,3/9/2026 8:44,3/31/2027 8:44
BTAX-043941-07-2026,,SLAYDEN CONSTRUCTORS INC,,34,Outside City Limits,238190,Contractor-General/Building Exterior,5037691969,8/1/2006 0:00,4A0117E5-4265-450B-AB48-CAE637AF8B32,550,HAWTHORNE,,,AVE,SE,200,SALEM,OR,97301,8001,ARISTA,,,PL,,500,BROOMFIELD,CO,80021,7/27/2026 12:00,7/31/2027 12:00
BTAX-042547-01-2026,,"MICHELS CONSTRUCTION, INC.",,6,Outside City Limits,238190,Contractor-General/Building Exterior,9205833132,11/1/2021 0:00,1889d997-2831-42e1-9bd0-6d8975c8ccc4,,,,,,,,,,,PO BOX 128,,,,,,,BROWNSVILLE,WI,53006,1/2/2026 16:06,11/30/2026 16:06
BTAX-043413-06-2026,,"MICHELS UTILITY SERVICES, INC",,6,Outside City Limits,238190,Contractor-General/Building Exterior,9205833132,6/28/2021 0:00,74bc527a-48d2-4cc1-b2a8-3054f015910a,,,,,,,,,,,817,MAIN,,,ST,,,BROWNSVILLE,WI,53006,6/8/2026 14:15,6/30/2027 14:15
BTAX-043899-07-2026,,"MICHELS PIPELINE, INC.",,5,Outside City Limits,238190,Contractor-General/Building Exterior,9205833132,6/28/2021 0:00,1edd6753-2956-41b6-a2bc-5ec2f92032d7,,,,,,,,,,,PO BOX 128,,,,,,,BROWSVILLE,WI,53006,7/21/2026 9:23,7/31/2027 9:23
BTAX-043362-06-2026,CHRISTOPHER SPAFFORD,"CAP CONCRETE COATINGS, INC",CAP CONCRETE COATINGS,2,Outside City Limits,238990,Contractor-Trade/Specialty,5416462237,5/1/2018 0:00,853ebfde-085c-4e02-a70f-36e73f127a14,250,COMMERCIAL,,,CT,,STE 101,MEDFORD,OR,97501,17413,167TH,,NE,AVE,,,BRUSH PRARIRE,WA,98606,6/1/2026 9:31,6/30/2027 9:31
BTAX-043708-07-2026,DAVID BITTERLING,FAUCET BROTHERS PLUMBING LLC,,2,Inside City Limits,238220,Plumber,5418405258,3/5/2018 0:00,7ec0e5e2-065e-4778-b536-06846b6c3c02,,,,,,,,,,,379,FOSSIL STONE,,,TRL,,,BUDA,TX,78610,7/10/2026 11:35,7/31/2027 11:35
BTAX-042251-11-2025,TONY PARDI,RH2 ENGINEERING INC,,3,Outside City Limits,541330,Engineering Services,4259515400,7/1/1980 0:00,a91a1d83-a088-4e98-a815-2014bb94839e,,,,,,,,,,,22722,29TH,,,DR,SE,#210,BUTHELL,WA,98021,11/10/2025 10:54,11/30/2026 10:54
BTAX-043550-07-2026,,HARBOR FREIGHT TOOLS #811,,13,Inside City Limits,444140,Retail-General Merchandise ,8188365001,4/25/2017 0:00,7e033ffd-1c9c-46bd-ace5-37e93358a953,340,BEACON,,NE,DR,, ,GRANTS PASS,OR,97526,ATTN LEGAL COMPLIANCE HQE,,26677 AGOURA RD,,,,,CALABASAS,CA,913021959,7/6/2026 12:01,7/31/2027 12:01
BTAX-042930-03-2026,JAMES CORNISH,JAMES M CORNISH LIV TRUST,,2,Inside City Limits,531110,Rental Units/Landlord,5412182979,5/5/2016 0:00,e3291e10-d22e-43f6-85bc-cda92a945cc8,7808,QUINAULT,,NW,ST,, ,CAMAS,WA,98607,7808,QUINAULT,,NW,ST,, ,CAMAS,WA,98607,3/10/2026 10:40,3/31/2027 10:40
BTAX-041712-09-2025,Elizabeth Howard,NORTHWEST MECHANICAL GROUP LLC,,6,Outside City Limits,238220,Contractor-HVAC Services,5036524444,1/17/2001 0:00,3EDE9790-FF74-4018-AE97-C691B8AF2A98,,,,,,,,,,,1250,3RD,,NW,AVE,,,CANBY,OR,97013,9/10/2025 14:20,9/30/2026 14:20
BTAX-042069-10-2025,,CENTIMARK CORPORATION         ,,5,Outside City Limits,238990,Contractor-Trade/Specialty,8005584100,7/12/1997 0:00,CC1B1C20-84AD-4E4E-99AD-C2D2CE4FDC11,,,,,,,,,,,ATTN: COREY BROWN,,12 GRANDVIEW CIRCLE,,,,,CANONSBURG,PA,15317,10/20/2025 14:54,10/31/2026 14:54
BTAX-042416-12-2025,REANNA MEISNER,HANNIGAN ELECTRIC LLC,,7,Outside City Limits,238210,Contractor-Electrical,5416702588,12/6/2021 0:00,dcec66cc-64b0-4c80-98ae-6f5f7f811b2f,452,MAIN,,N,ST,,,CANYONVILLE,OR,97417,452,MAIN,,N,ST,,,CANYONVILLE,OR,97417,12/8/2025 12:54,12/31/2026 12:54
BTAX-042615-01-2026,,"MULTI-SITE MANAGEMENT, LLC",MSM 532,9,Inside City Limits,457120,Gas Station,7606074511,10/8/2014 0:00,6CCB6AA3-00AC-4FF5-A094-B148FEA7CDC8,1094,E,,NE,ST,, ,GRANTS PASS,OR,97526,2385,CAMINO VIDA ROBLE,,,RD,,102,CARLSBAD,CA,92011,1/13/2026 10:57,1/31/2027 10:57
BTAX-042786-02-2026,,ARS FRESNO LLC                ,MSM 533,12,Inside City Limits,457120,Gas Station,7606074511,10/8/2014 0:00,9C50D656-5342-468F-B793-D3D373D0EB84,1650,ALLEN CREEK,, ,RD,, ,GRANTS PASS,OR,97527,2385,CAMINO VIDA ROBLE,,,,,102,CARLSBAD,CA,92011,2/10/2026 12:49,2/28/2027 12:49
